BBSab,BBSb,WFBS1,WFBS2,WFBS3,WFBS4,WFBS5,WFBS6,WFBS7,WFBS8,WFBS9,WFBS10,WFBS11,WFBS12,WFBS13,WFBS14,WFBS15,WFBS16,WFBS17,WFBS18,WFBS19,WFBS20,WFBS21,WFBS22,WFBS23,WFBS24,WFBS25,WFBS26,WFBS27,WFBS28,WFBS29,WFBS30,WFBS31,WFBS32,WFBS33,WFBS34,WFBS35,WFBS36,WFBS37,WFBS38,WFBS39,WFBS40,WFBS41,WFBS42,WFBS43,WFBS44,WFBS45,WFBS46,WFBS47,WFBS48,WFBS49,WFBS50,WFBS51,WFBS52,WFBS53,WFBS54,WFBS55,WFBS56,WFBS57,WFBS58,WFBS59,WFBS60,WFBS61,WFBS62,WFBS63,WFBS64,WFBS65,WFBS66,WFBS67,WFBS68,WFBS69,WFBS70,WFBS71,WFBS72,WFBS73,WFBS74,WFBS75,WFBS76,WFBS77
6912,612,Q020101,P010104,P020104,P030104,P040104,P050104,P060104,P070104,P080104,P010204,P020204,P030204,P040204,P050204,P060204,P070204,P080204,Q020101,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,Q020101,P010102,P020102,P030102,P040102,P050102,P060102,P070102,P080102,P010202,P020202,P030202,P040202,P050202,P060202,P070202,P080202,Q020101,P0101NA,P0201NA,P0301NA,P0401NA,P0501NA,P0601NA,P0701NA,P0801NA,P0102NA,P0202NA,P0302NA,P0402NA,P0502NA,P0602NA,P0702NA,P0802NA,,,,,,,,,
61012,612,Q020101,N040203,N050203,P010104,P020104,P030104,P040104,P050104,P060104,P070104,P080104,P090104,P010204,P020204,P030204,P040204,P050204,P060204,P070204,P080204,P090204,N0402NA,N0502NA,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,P010102,P020102,P030102,P040102,P050102,P060102,P070102,P080102,P090102,P010202,P020202,P030202,P040202,P050202,P060202,P070202,P080202,P090202,P0101NA,P0201NA,P0301NA,P0401NA,P0501NA,P0601NA,P0701NA,P0801NA,P0901NA,P0102NA,P0202NA,P0302NA,P0402NA,P0502NA,P0602NA,P0702NA,P0802NA,P0902NA
61112,612,Q020101,N060203,P010104,P020104,P030104,P040104,P070104,P090104,P010204,P020204,P030204,P040204,P070204,P090204,Q020101,N0602NA,P010101,P020101,P030101,P040101,P070101,P090101,P010201,P020201,P030201,P040201,P070201,P090201,Q020101,N0602NA,P010102,P020102,P030102,P040102,P070102,P090102,P010202,P020202,P030202,P040202,P070202,P090202,Q020101,N0602NA,P0101NA,P0201NA,P0301NA,P0401NA,P0701NA,P0901NA,P0102NA,P0202NA,P0302NA,P0402NA,P0702NA,P0902NA,,,,,,,,,,,,,,,,,,,,,
61212,612,Q020101,N070303,P010104,P020104,P030104,P050104,P090104,P00104,P010204,P020204,P030204,P050204,Q020101,N0703NA,P010101,P020101,P030101,P050101,P090101,P00101,P010201,P020201,P030201,P050201,Q020101,N0703NA,P010102,P020102,P030102,P050102,P090102,P00102,P010202,P020202,P030202,P050202,Q020101,N0703NA,P0101NA,P0201NA,P0301NA,P0501NA,P0901NA,P001NA,P0102NA,P0202NA,P0302NA,P0502NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61312,612,P010104,P020104,P030104,P040104,P050104,P060104,P070104,P080104,P090104,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,P010102,P020102,P030102,P040102,P050102,P060102,P070102,P080102,P090102,P0101NA,P0201NA,P0301NA,P0401NA,P0501NA,P0601NA,P0701NA,P0801NA,P0901NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61412,612,P010204,P020204,P030204,P040204,P050204,P060204,P070204,P080204,P090204,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,P010202,P020202,P030202,P040202,P050202,P060202,P070202,P080202,P090202,P0102NA,P0202NA,P0302NA,P0402NA,P0502NA,P0602NA,P0702NA,P0802NA,P0902NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61512,612,Q030201,Q030201,Q030201,Q030201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61612,612,M0408NA,M0408NA,M0408NA,M0408NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,113,M0101NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,113,M0103NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313,113,M0104NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1413,113,M0105NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,113,M0106NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,113,Q020101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713,113,N0102NA,N0202NA,N0302NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,113,Q020101,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,113,Q020101,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11013,113,Q020101,N0402NA,N0502NA,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11113,113,Q020101,N0602NA,P010101,P020101,P030101,P040101,P070101,P090101,P010201,P020201,P030201,P040201,P070201,P090201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11213,113,Q020101,N0703NA,P010101,P020101,P030101,P050101,P090101,P010201,P020201,P030201,P050201,P090201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11313,113,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11413,113,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11513,113,Q030201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11613,113,M0108NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2113,213,M0201NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2213,213,M0203NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2313,213,M0204NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2413,213,M0205NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513,213,M0206NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2613,213,Q020101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713,213,N0102NA,N0202NA,N0302NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2813,213,Q020101,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2913,213,Q020101,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21013,213,Q020101,N0402NA,N0502NA,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21113,213,Q020101,N0602NA,P010101,P020101,P030101,P040101,P070101,P090101,P010201,P020201,P030201,P040201,P070201,P090201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21213,213,Q020101,N0703NA,P010101,P020101,P030101,P050101,P090101,P010201,P020201,P030201,P050201,P090201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21313,213,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21413,213,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21513,213,Q030201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21613,213,M0208NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3113,313,M0401NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3213,313,M0403NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3313,313,M0404NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3413,313,M0405NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3513,313,M0406NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3613,313,Q020101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3713,313,N0102NA,N0202NA,N0302NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3813,313,Q020101,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3913,313,Q020101,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31013,313,Q020101,N0402NA,N0502NA,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31113,313,Q020101,N0602NA,P010101,P020101,P030101,P040101,P070101,P090101,P010201,P020201,P030201,P040201,P070201,P090201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31213,313,Q020101,N0703NA,P010101,P020101,P030101,P050101,P090101,P00101,P010201,P020201,P030201,P050201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31313,313,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31413,313,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31513,313,Q030201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31613,313,M0408NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4113,413,Q020101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4213,413,P010501,P020501,P030501,P040501,P050501,P060501,P070501,P080501,P090501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4313,413,P010501,P020501,P030501,P040501,P050501,P060501,P070501,P080501,P090501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4413,413,P010501,P020501,P030501,P040501,P050501,P060501,P070501,P080501,P090501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4513,413,P010501,P020501,P030501,P040501,P050501,P060501,P070501,P080501,P090501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4613,413,Q020101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4713,413,N0102NA,N0202NA,N0302NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4813,413,Q020101,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4913,413,Q020101,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41013,413,Q020101,N0402NA,N0502NA,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41113,413,Q020101,N0602NA,P010101,P020101,P030101,P040101,P070101,P090101,P010201,P020201,P030201,P040201,P070201,P090201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41213,413,Q020101,N0703NA,P010101,P020101,P030101,P050101,P090101,P00101,P010201,P020201,P030201,P050201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41313,413,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41413,413,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41513,413,Q030201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41613,413,M0408NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5113,513,Q070101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5213,513,Q070901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5313,513,Q070901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5413,513,Q070901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5513,513,Q070901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5613,513,Q070101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5713,513,Q070101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5813,513,Q070101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5913,513,Q070101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51013,513,Q070101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51113,513,Q070101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51213,513,Q070101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51313,513,Q070101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51413,513,Q070101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51513,513,Q070201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51613,513,Q070101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6113,613,Q020101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6213,613,P010501,P020501,P030501,P040501,P050501,P060501,P070501,P080501,P090501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6313,613,P010501,P020501,P030501,P040501,P050501,P060501,P070501,P080501,P090501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6413,613,P010501,P020501,P030501,P040501,P050501,P060501,P070501,P080501,P090501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6513,613,P010501,P020501,P030501,P040501,P050501,P060501,P070501,P080501,P090501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6613,613,Q020101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6713,613,N0102NA,N0202NA,N0302NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6813,613,Q020101,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6913,613,Q020101,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61013,613,Q020101,N0402NA,N0502NA,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61113,613,Q020101,N0602NA,P010101,P020101,P030101,P040101,P070101,P090101,P010201,P020201,P030201,P040201,P070201,P090201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61213,613,Q020101,N0703NA,P010101,P020101,P030101,P050101,P090101,P00101,P010201,P020201,P030201,P050201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61313,613,P010101,P020101,P030101,P040101,P050101,P060101,P070101,P080101,P090101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61413,613,P010201,P020201,P030201,P040201,P050201,P060201,P070201,P080201,P090201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61513,613,Q030201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61613,613,M0408NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,114,M0101NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,114,M0103NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,114,M0104NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1414,114,M0105NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,114,M0106NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,114,Q020101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,114,N0102NA,N0202NA,N0302NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,114,Q020101,P010102,P020102,P030102,P040102,P050102,P060102,P070102,P080102,P090102,P010202,P020202,P030202,P040202,P050202,P060202,P070202,P080202,P090202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914,114,Q020101,P010102,P020102,P030102,P040102,P050102,P060102,P070102,P080102,P010202,P020202,P030202,P040202,P050202,P060202,P070202,P080202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11014,114,Q020101,N0402NA,N0502NA,P010102,P020102,P030102,P040102,P050102,P060102,P070102,P080102,P090102,P010202,P020202,P030202,P040202,P050202,P060202,P070202,P080202,P090202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11114,114,Q020101,N0602NA,P010102,P020102,P030102,P040102,P070102,P090102,P010202,P020202,P030202,P040202,P070202,P090202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11214,114,Q020101,N0703NA,P010102,P020102,P030102,P050102,P090102,P010202,P020202,P030202,P050202,P090202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11314,114,P010102,P020102,P030102,P040102,P050102,P060102,P070102,P080102,P090102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11414,114,P010202,P020202,P030202,P040202,P050202,P060202,P070202,P080202,P090202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11514,114,Q030201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11614,114,M0108NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
